id,admin0_nom,admin1_nom,admin2_nom,Admin3_Nam,annee,homme,femme,source
274,Mali,Sikasso,Yanfolila,Gouandiaka,2009,12297,12822,RGPH
275,Mali,Sikasso,Yanfolila,Koussan,2009,5118,5073,RGPH
276,Mali,Sikasso,Yanfolila,Sankarani,2009,3660,3903,RGPH
277,Mali,Sikasso,Yanfolila,Sere Moussa Ani Samo,2009,9320,9464,RGPH
278,Mali,Sikasso,Yanfolila,Tagandougou,2009,7524,7587,RGPH
279,Mali,Sikasso,Yanfolila,Wassoulou Balle,2009,25532,25941,RGPH
280,Mali,Sikasso,Yanfolila,Yallankoro-Soloba,2009,5410,5866,RGPH
281,Mali,Sikasso,Koutiala,Diedougou,2009,2698,2819,RGPH
282,Mali,Sikasso,Koutiala,Diouradougou Kafo,2009,4552,4699,RGPH
283,Mali,Sikasso,Koutiala,Fagui,2009,5325,5624,RGPH
284,Mali,Sikasso,Koutiala,Fakolo,2009,5476,5778,RGPH
285,Mali,Sikasso,Koutiala,Gouadji Kao,2009,5150,5564,RGPH
286,Mali,Sikasso,Koutiala,Gouadie Sougouna,2009,13100,13147,RGPH
287,Mali,Sikasso,Koutiala,Kafo Faboli,2009,6817,7389,RGPH
288,Mali,Sikasso,Koutiala,Kapala,2009,4089,4204,RGPH
289,Mali,Sikasso,Koutiala,Karagouana Malle,2009,3637,3722,RGPH
290,Mali,Sikasso,Koutiala,Kolonigue,2009,11169,11791,RGPH
291,Mali,Sikasso,Koutiala,Konina,2009,6769,7087,RGPH
292,Mali,Sikasso,Koutiala,Koningue,2009,7821,8296,RGPH
293,Mali,Sikasso,Koutiala,Konseguela,2009,14548,15536,RGPH
294,Mali,Sikasso,Koutiala,Koromo,2009,4574,4793,RGPH
295,Mali,Sikasso,Koutiala,Kouniana,2009,2267,2378,RGPH
296,Mali,Sikasso,Koutiala,Koutiala Commune,2009,70905,70539,RGPH
297,Mali,Sikasso,Koutiala,Logouana,2009,4069,4332,RGPH
298,Mali,Sikasso,Koutiala,Miena,2009,16966,18365,RGPH
299,Mali,Sikasso,Koutiala,M'pessoba,2009,6216,6818,RGPH
300,Mali,Sikasso,Koutiala,Nafanga,2009,9721,9854,RGPH
301,Mali,Sikasso,Koutiala,Nampe,2009,2979,3224,RGPH
302,Mali,Sikasso,Koutiala,N'golonianasso,2009,4290,4504,RGPH
303,Mali,Sikasso,Koutiala,N'goutjina,2009,2380,2446,RGPH
304,Mali,Sikasso,Koutiala,N'tossoni,2009,9544,10258,RGPH
305,Mali,Sikasso,Koutiala,Sincina,2009,9371,9675,RGPH
306,Mali,Sikasso,Koutiala,Sinkolo,2009,6057,6358,RGPH
307,Mali,Sikasso,Koutiala,Songo Doubacoro,2009,7245,7515,RGPH
308,Mali,Sikasso,Koutiala,Songoua,2009,3030,3169,RGPH
309,Mali,Sikasso,Koutiala,Sorobasso,2009,2800,2916,RGPH
310,Mali,Sikasso,Koutiala,Tao,2009,2804,3143,RGPH
311,Mali,Sikasso,Koutiala,Yognogo,2009,2397,2371,RGPH
312,Mali,Sikasso,Koutiala,Zanfigue,2009,7492,7747,RGPH
313,Mali,Sikasso,Koutiala,Zangasso,2009,9391,10105,RGPH
314,Mali,Sikasso,Koutiala,Zanina,2009,3619,3806,RGPH
315,Mali,Sikasso,Koutiala,Zebala,2009,8293,8997,RGPH
316,Mali,Sikasso,Bougouni,Bladie-Tiemala,2009,2186,2418,RGPH
317,Mali,Sikasso,Bougouni,Bougouni Commune,2009,29581,28957,RGPH
318,Mali,Sikasso,Bougouni,Danou,2009,6562,6902,RGPH
319,Mali,Sikasso,Bougouni,Debelin,2009,4092,4189,RGPH
320,Mali,Sikasso,Bougouni,Defina,2009,3828,4191,RGPH
321,Mali,Sikasso,Bougouni,Dogo,2009,16769,17385,RGPH
322,Mali,Sikasso,Bougouni,Domba,2009,6808,7039,RGPH
323,Mali,Sikasso,Bougouni,Faradiele,2009,1350,1339,RGPH
324,Mali,Sikasso,Bougouni,Faragouaran,2009,5066,5459,RGPH
325,Mali,Sikasso,Bougouni,Garalo,2009,15732,17028,RGPH
326,Mali,Sikasso,Bougouni,Keleya,2009,10022,10507,RGPH
327,Mali,Sikasso,Bougouni,Kokele,2009,3247,3230,RGPH
328,Mali,Sikasso,Bougouni,Kola,2009,2240,2248,RGPH
329,Mali,Sikasso,Bougouni,Koumantou,2009,24828,26381,RGPH
330,Mali,Sikasso,Bougouni,Kouroulamini,2009,3068,3177,RGPH
331,Mali,Sikasso,Bougouni,Meridiela,2009,6818,7040,RGPH
332,Mali,Sikasso,Bougouni,Ouroun,2009,2747,2798,RGPH
333,Mali,Sikasso,Bougouni,Sanso,2009,9932,9902,RGPH
334,Mali,Sikasso,Bougouni,Sibirila,2009,15109,15728,RGPH
335,Mali,Sikasso,Bougouni,Sido,2009,10269,10553,RGPH
336,Mali,Sikasso,Bougouni,Tiemala Banimonotie,2009,8232,8541,RGPH
337,Mali,Sikasso,Bougouni,Wola,2009,5623,5759,RGPH
338,Mali,Sikasso,Bougouni,Yinindougou,2009,4485,4481,RGPH
339,Mali,Sikasso,Bougouni,Yiridougou,2009,4475,5003,RGPH
340,Mali,Sikasso,Bougouni,Zantiebougou,2009,17667,18100,RGPH
341,Mali,Sikasso,Sikasso,Benkadi,2009,3875,4089,RGPH
342,Mali,Sikasso,Sikasso,Blendio,2009,5857,6398,RGPH
343,Mali,Sikasso,Sikasso,Danderesso,2009,17956,18400,RGPH
344,Mali,Sikasso,Sikasso,Dembela,2009,6134,6369,RGPH
345,Mali,Sikasso,Sikasso,Dialakoro,2009,2634,2842,RGPH
346,Mali,Sikasso,Sikasso,Diomatene,2009,2149,2314,RGPH
347,Mali,Sikasso,Sikasso,Dogoni,2009,6452,6976,RGPH
348,Mali,Sikasso,Sikasso,Doumanaba,2009,6565,7297,RGPH
349,Mali,Sikasso,Sikasso,Fama,2009,5275,5489,RGPH
350,Mali,Sikasso,Sikasso,Farakala,2009,3676,3912,RGPH
351,Mali,Sikasso,Sikasso,Finkolo,2009,6988,7191,RGPH
352,Mali,Sikasso,Sikasso,Finkolo Ganadougou,2009,8635,8698,RGPH
353,Mali,Sikasso,Sikasso,Gongasso,2009,4215,4591,RGPH
354,Mali,Sikasso,Sikasso,Kabarasso,2009,4043,4443,RGPH
355,Mali,Sikasso,Sikasso,Kaboila,2009,13200,14098,RGPH
356,Mali,Sikasso,Sikasso,Kafouziela,2009,3108,3304,RGPH
357,Mali,Sikasso,Sikasso,Kapala,2009,5040,5245,RGPH
358,Mali,Sikasso,Sikasso,Kapolondougou,2009,6990,7679,RGPH
359,Mali,Sikasso,Sikasso,Kignan,2009,12809,13154,RGPH
360,Mali,Sikasso,Sikasso,Klela,2009,12199,12671,RGPH
361,Mali,Sikasso,Sikasso,Kofan,2009,4720,5578,RGPH
362,Mali,Sikasso,Sikasso,Kolokoba,2009,3548,4155,RGPH
363,Mali,Sikasso,Sikasso,Koumankou,2009,4457,4498,RGPH
