id,admin0_nom,admin1_nom,admin2_nom,admin3_nom,homme_1998,homme_2009,femme_1998,femme_2009,source
278,Mali,Sikasso,Yanfolila,Tagandougou,6983,7524,7118,7587,RGPH
279,Mali,Sikasso,Yanfolila,Wassoulou Balle,18574,25532,18924,25941,RGPH
280,Mali,Sikasso,Yanfolila,Yallankoro-Soloba,4710,5410,5042,5866,RGPH
281,Mali,Sikasso,Koutiala,Diedougou,13100,2698,13173,2819,RGPH
282,Mali,Sikasso,Koutiala,Diouradougou Kafo,4146,4552,4126,4699,RGPH
283,Mali,Sikasso,Koutiala,Fagui,3775,5325,3846,5624,RGPH
284,Mali,Sikasso,Koutiala,Fakolo,4280,5476,4406,5778,RGPH
285,Mali,Sikasso,Koutiala,Gouadji Kao,3463,5150,3618,5564,RGPH
286,Mali,Sikasso,Koutiala,Gouadie Sougouna,9204,13100,9559,13147,RGPH
287,Mali,Sikasso,Koutiala,Kafo Faboli,5383,6817,5740,7389,RGPH
288,Mali,Sikasso,Koutiala,Kapala,4328,4089,4261,4204,RGPH
289,Mali,Sikasso,Koutiala,Karagouana Malle,2830,3637,2882,3722,RGPH
290,Mali,Sikasso,Koutiala,Kolonigue,7296,11169,7385,11791,RGPH
291,Mali,Sikasso,Koutiala,Konina,4850,6769,4766,7087,RGPH
292,Mali,Sikasso,Koutiala,Koningue,5222,7821,5231,8296,RGPH
293,Mali,Sikasso,Koutiala,Konseguela,10258,14548,10661,15536,RGPH
294,Mali,Sikasso,Koutiala,Koromo,2181,4574,2237,4793,RGPH
295,Mali,Sikasso,Koutiala,Kouniana,1111,2267,1075,2378,RGPH
296,Mali,Sikasso,Koutiala,Koutiala Commune,39152,70905,37762,70539,RGPH
297,Mali,Sikasso,Koutiala,Logouana,2603,4069,2928,4332,RGPH
298,Mali,Sikasso,Koutiala,Miena,5214,16966,5609,18365,RGPH
299,Mali,Sikasso,Koutiala,M'pessoba,14255,6216,14999,6818,RGPH
300,Mali,Sikasso,Koutiala,Nafanga,3097,9721,3051,9854,RGPH
301,Mali,Sikasso,Koutiala,Nampe,2851,2979,2852,3224,RGPH
302,Mali,Sikasso,Koutiala,N'golonianasso,6344,4290,6651,4504,RGPH
303,Mali,Sikasso,Koutiala,N'goutjina,3809,2380,4008,2446,RGPH
304,Mali,Sikasso,Koutiala,N'tossoni,2609,9544,2817,10258,RGPH
305,Mali,Sikasso,Koutiala,Sincina,5310,9371,5335,9675,RGPH
306,Mali,Sikasso,Koutiala,Sinkolo,3696,6057,3699,6358,RGPH
307,Mali,Sikasso,Koutiala,Songo Doubacoro,4522,7245,4700,7515,RGPH
308,Mali,Sikasso,Koutiala,Songoua,2521,3030,2596,3169,RGPH
309,Mali,Sikasso,Koutiala,Sorobasso,2036,2800,2079,2916,RGPH
310,Mali,Sikasso,Koutiala,Tao,2293,2804,2394,3143,RGPH
311,Mali,Sikasso,Koutiala,Yognogo,1942,2397,1953,2371,RGPH
312,Mali,Sikasso,Koutiala,Zanfigue,5288,7492,5283,7747,RGPH
313,Mali,Sikasso,Koutiala,Zangasso,6704,9391,6759,10105,RGPH
314,Mali,Sikasso,Koutiala,Zanina,2909,3619,2915,3806,RGPH
315,Mali,Sikasso,Koutiala,Zebala,7280,8293,7574,8997,RGPH
316,Mali,Sikasso,Bougouni,Bladie-Tiemala,966,2186,1059,2418,RGPH
317,Mali,Sikasso,Bougouni,Bougouni Commune,19007,29581,18353,28957,RGPH
318,Mali,Sikasso,Bougouni,Danou,4839,6562,5219,6902,RGPH
319,Mali,Sikasso,Bougouni,Debelin,2551,4092,2584,4189,RGPH
320,Mali,Sikasso,Bougouni,Defina,3381,3828,3782,4191,RGPH
321,Mali,Sikasso,Bougouni,Dogo,12534,16769,13033,17385,RGPH
322,Mali,Sikasso,Bougouni,Domba,4479,6808,4468,7039,RGPH
323,Mali,Sikasso,Bougouni,Faradiele,1084,1350,1136,1339,RGPH
324,Mali,Sikasso,Bougouni,Faragouaran,3867,5066,4093,5459,RGPH
325,Mali,Sikasso,Bougouni,Garalo,9906,15732,10488,17028,RGPH
326,Mali,Sikasso,Bougouni,Keleya,8655,10022,8911,10507,RGPH
327,Mali,Sikasso,Bougouni,Kokele,2496,3247,2553,3230,RGPH
328,Mali,Sikasso,Bougouni,Kola,1363,2240,1361,2248,RGPH
329,Mali,Sikasso,Bougouni,Koumantou,16714,24828,17273,26381,RGPH
330,Mali,Sikasso,Bougouni,Kouroulamini,2192,3068,2407,3177,RGPH
331,Mali,Sikasso,Bougouni,Meridiela,4516,6818,4621,7040,RGPH
332,Mali,Sikasso,Bougouni,Ouroun,2107,2747,2158,2798,RGPH
333,Mali,Sikasso,Bougouni,Sanso,5481,9932,5459,9902,RGPH
334,Mali,Sikasso,Bougouni,Sibirila,8435,15109,8882,15728,RGPH
