Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Selefougou,ML020309,2009,2304,2333,4637,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Baguineda Camp,ML020401,2009,26406,25415,51821,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Bancoumana,ML020402,2009,11836,11741,23577,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Bossofala,ML020403,2009,8437,8461,16898,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Bougoula,ML020404,2009,5418,5363,10781,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Daban,ML020405,2009,5582,5577,11159,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Diago,ML020406,2009,4687,4725,9412,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dialakoroba,ML020407,2009,11533,11302,22835,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dialakorodji,ML020408,2009,23836,23650,47486,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Diedougou,ML020409,2009,5140,5372,10512,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dio Gare,ML020410,2009,6219,6523,12742,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dogodouman,ML020411,2009,5909,5875,11784,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dombila,ML020412,2009,6561,6891,13452,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Doubabougou,ML020413,2009,4869,4986,9855,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Kalabancoro,ML020415,2009,81018,80864,161882,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Kalifabougou,ML020416,2009,5587,6034,11621,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Kambila,ML020417,2009,7599,7766,15365,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Kati Commune,ML020418,2009,41982,42518,84500,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Kourouba,ML020419,2009,2885,2944,5829,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Mande,ML020420,2009,28734,28615,57349,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Moribabougou,ML020421,2009,13457,13602,27059,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Mountougoula,ML020422,2009,7996,8232,16228,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,N'gabacoro,ML020423,2009,9254,9009,18263,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,N'gouraba,ML020424,2009,8842,8853,17695,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Niagadina,ML020425,2009,5056,5386,10442,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Nioumakana,ML020426,2009,4075,4351,8426,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,N'tjiba,ML020427,2009,10653,11139,21792,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Ouelessebougou,ML020428,2009,24694,25345,50039,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Safo,ML020429,2009,7443,7238,14681,RGPH
